experiment_id,phase,config_description,hash_mode,rate_limit,lockout,captcha,pepper,totp,attack_type,target,target_category,success,total_attempts,time_to_crack,total_time_seconds,avg_latency_ms,attempts_per_second
29,2,Phase 2: SHA256 - RATE_LIMIT + LOCKOUT + CAPTCHA + PEPPER + TOTP,SHA256,True,True,True,True,True,brute_force,medium_user_01,medium,False,1,,0.14374566078186035,143.74570521250985,6.956731734097623
30,2,Phase 2: SHA256 - TOTP,SHA256,False,False,False,False,True,brute_force,medium_user_01,medium,False,100,,15.785187244415283,157.85187538216243,6.335053138845691
31,2,Phase 2: ARGON2ID - CAPTCHA,ARGON2ID,False,False,True,False,False,brute_force,strong_user_01,strong,False,1,,0.2635066509246826,263.5065907825767,3.7949706259438107
32,2,Phase 2: ARGON2ID - LOCKOUT,ARGON2ID,False,True,False,False,False,brute_force,strong_user_01,strong,True,380,22650.471928596497,22650.471928596497,248.5223582081809,0.016776692388481555
33,2,Phase 2: ARGON2ID - LOCKOUT + CAPTCHA,ARGON2ID,False,True,True,False,False,brute_force,strong_user_01,strong,False,1,,0.24799585342407227,247.99573479754693,4.032325485257218
34,1,Phase 1: ARGON2ID - No protections,ARGON2ID,False,False,False,False,False,brute_force,strong_user_01,strong,True,455,114.78996515274048,114.78996515274048,252.89334480028538,3.9637611126945917
35,2,Phase 2: ARGON2ID - PEPPER,ARGON2ID,False,False,False,True,False,brute_force,strong_user_01,strong,True,455,113.0846266746521,113.0846266746521,249.1035876968694,4.023535412192223
36,2,Phase 2: ARGON2ID - RATE_LIMIT,ARGON2ID,True,False,False,False,False,brute_force,strong_user_01,strong,True,455,338.063086271286,338.063086271286,249.09723311408408,1.345902639115338
37,2,Phase 2: ARGON2ID - RATE_LIMIT + CAPTCHA,ARGON2ID,True,False,True,False,False,brute_force,strong_user_01,strong,False,1,,0.26020288467407227,260.20285530294314,3.8431549337071753
38,2,Phase 2: ARGON2ID - RATE_LIMIT + LOCKOUT,ARGON2ID,True,True,False,False,False,brute_force,strong_user_01,strong,True,380,22651.969972133636,22651.969972133636,252.20033543654435,0.016775582894886162
39,2,Phase 2: ARGON2ID - RATE_LIMIT + LOCKOUT + CAPTCHA + PEPPER + TOTP,ARGON2ID,True,True,True,True,True,brute_force,strong_user_01,strong,False,1,,0.21326470375061035,213.2646680195624,4.689008459502938
40,2,Phase 2: ARGON2ID - TOTP,ARGON2ID,False,False,False,False,True,brute_force,strong_user_01,strong,False,100,,25.21378993988037,252.13790250412185,3.9660836486081417
